,English,English_cleaned,Spanish,French,German
186,we have to save him immediately,we have to save him immediately,tenemos que salvarlo inmediatamente,nous devons le sauver immédiatement,wir müssen ihn sofort retten
187,we have way too much work to do,we have way too much work to do,tenemos demasiado trabajo que hacer,nous avons beaucoup trop de travail à faire,wir haben viel zu viel zu tun
188,we haven't caught the thief yet,we have not caught the thief yet,todavía no hemos atrapado al ladrón,nous n'avons pas encore attrapé le voleur,wir haben den Dieb noch nicht gefasst
189,we heard a noise in the bedroom,we heard a noise in the bedroom,escuchamos un ruido en el dormitorio,nous avons entendu du bruit dans la chambre,Wir hörten ein Geräusch im Schlafzimmer
190,we hit it off right off the bat,we hit it off right off the bat,nos llevamos bien desde el principio,nous nous sommes bien entendus dès le départ,wir haben es auf Anhieb verstanden
191,we hope it doesn't happen again,we hope it does not happen again,esperamos que no vuelva a suceder,nous espérons que cela ne se reproduira plus,"wir hoffen, dass es nicht wieder vorkommt"
192,we hope your stay was enjoyable,we hope your stay was enjoyable,esperamos que su estancia haya sido agradable,nous espérons que votre séjour a été agréable,"wir hoffen, Ihr Aufenthalt war angenehm"
193,we imported this from australia,we imported this from australia,importamos esto de australia,nous l'avons importé d'australie,Wir haben das aus Australien importiert
194,we intended to start right away,we intended to start right away,Teníamos la intención de comenzar de inmediato.,nous avions l'intention de commencer tout de suite,wir wollten gleich loslegen
195,we just have to get out of here,we just have to get out of here,solo tenemos que salir de aquí,nous devons juste sortir d'ici,wir müssen hier einfach raus
196,we just talked for a little bit,we just talked for a little bit,solo hablamos un rato,on a juste parlé un peu,wir haben uns nur kurz unterhalten
197,we know what you're looking for,we know what you are looking for,sabemos lo que buscas,nous savons ce que vous cherchez,"Wir wissen, wonach Sie suchen"
198,we look up to tom as our leader,we look up to tom as our leader,admiramos a tom como nuestro líder,nous admirons tom comme notre chef,Wir sehen zu Tom als unserem Anführer auf
199,we look up to him as our leader,we look up to him as our leader,lo admiramos como nuestro líder,nous le considérons comme notre chef,Wir sehen zu ihm als unserem Führer auf
200,we lost everything in the flood,we lost everything in the flood,perdimos todo en la inundación,nous avons tout perdu dans le déluge,wir haben alles in der Flut verloren
201,we managed to get there on time,we managed to get there on time,logramos llegar a tiempo,nous avons réussi à arriver à l'heure,"wir haben es geschafft, pünktlich dort anzukommen"
202,we may as well keep it a secret,we may as well keep it a secret,también podemos mantenerlo en secreto,autant garder le secret,wir können es genauso gut geheim halten
203,we met them at the youth hostel,we met them at the youth hostel,los conocimos en el albergue juvenil,nous les avons rencontrés à l'auberge de jeunesse,Wir trafen sie in der Jugendherberge
204,we might need to sell our house,we might need to sell our house,es posible que tengamos que vender nuestra casa,nous pourrions avoir besoin de vendre notre maison,Vielleicht müssen wir unser Haus verkaufen
205,we must go to bed early tonight,we must go to bed early tonight,debemos acostarnos temprano esta noche,nous devons nous coucher tôt ce soir,wir müssen heute früh ins Bett gehen
206,we must think of something else,we must think of something else,debemos pensar en otra cosa,il faut penser à autre chose,wir müssen an etwas anderes denken
207,we need a place to stay tonight,we need a place to stay tonight,necesitamos un lugar para quedarnos esta noche,nous avons besoin d'un endroit pour rester ce soir,Wir brauchen eine Unterkunft für heute Nacht
208,we need only a few more minutes,we need only a few more minutes,solo necesitamos unos minutos más,nous n'avons besoin que de quelques minutes de plus,Wir brauchen nur noch ein paar Minuten
209,we need that report by tomorrow,we need that report by tomorrow,necesitamos ese informe para mañana,nous avons besoin de ce rapport d'ici demain,wir brauchen diesen Bericht bis morgen
210,we need this report by tomorrow,we need this report by tomorrow,necesitamos este informe para mañana,nous avons besoin de ce rapport d'ici demain,wir brauchen diesen Bericht bis morgen
211,we need to come to an agreement,we need to come to an agreement,tenemos que llegar a un acuerdo,nous devons arriver à un accord,wir müssen uns einigen
212,we need to discuss this further,we need to discuss this further,tenemos que discutir esto más a fondo,nous devons en discuter plus avant,darüber müssen wir weiter diskutieren
213,we need to do this report again,we need to do this report again,tenemos que hacer este informe de nuevo,nous devons refaire ce rapport,Wir müssen diesen Bericht wiederholen
214,we need to find a place to hide,we need to find a place to hide,tenemos que encontrar un lugar para escondernos,nous devons trouver un endroit pour nous cacher,Wir müssen ein Versteck finden
215,we need to make a slight detour,we need to make a slight detour,tenemos que hacer un pequeño desvío,nous devons faire un petit détour,Wir müssen einen kleinen Umweg machen
216,we often talk about the weather,we often talk about the weather,a menudo hablamos del tiempo,on parle souvent de la météo,Wir reden oft über das Wetter
217,we play football every saturday,we play football every saturday,jugamos fútbol todos los sábados,on joue au foot tous les samedis,Wir spielen jeden Samstag Fußball
218,we really have to be on our way,we really have to be on our way,realmente tenemos que estar en nuestro camino,nous devons vraiment être sur notre chemin,Wir müssen uns wirklich auf den Weg machen
219,we saw a castle in the distance,we saw a castle in the distance,vimos un castillo en la distancia,nous avons vu un château au loin,In der Ferne sahen wir eine Burg
220,we set up our tents before dark,we set up our tents before dark,montamos nuestras tiendas antes del anochecer,nous montons nos tentes avant la nuit,Wir bauen unsere Zelte vor Einbruch der Dunkelheit auf
221,we should all help the homeless,we should all help the homeless,Todos deberíamos ayudar a las personas sin hogar.,nous devrions tous aider les sans-abri,wir alle sollten den Obdachlosen helfen
222,we should be proud of ourselves,we should be proud of ourselves,debemos estar orgullosos de nosotros mismos,nous devrions être fiers de nous,wir sollten stolz auf uns sein
223,we should do something about it,we should do something about it,deberíamos hacer algo al respecto,nous devrions faire quelque chose à ce sujet,wir sollten etwas dagegen tun
224,we should have departed earlier,we should have departed earlier,deberíamos habernos ido antes,nous aurions dû partir plus tôt,wir hätten früher abreisen sollen
225,we should let sleeping dogs lie,we should let sleeping dogs lie,deberíamos dejar que los perros durmientes mientan,nous devrions laisser les chiens endormis mentir,wir sollten schlafende Hunde liegen lassen
226,we shouldn't resort to violence,we should not resort to violence,no debemos recurrir a la violencia,nous ne devrions pas recourir à la violence,wir sollten nicht auf Gewalt zurückgreifen
227,we sometimes go out for a drive,we sometimes go out for a drive,a veces salimos a dar una vuelta,nous sortons parfois en voiture,Wir gehen manchmal für eine Fahrt aus
228,we stood at the door and waited,we stood at the door and waited,nos paramos en la puerta y esperamos,nous nous sommes tenus à la porte et avons attendu,Wir standen vor der Tür und warteten
229,we talk to each other every day,we talk to each other every day,nos hablamos todos los días,on se parle tous les jours,wir reden jeden Tag miteinander
230,we talked about this last night,we talked about this last night,hablamos de esto anoche,nous en avons parlé hier soir,Wir haben gestern Abend darüber gesprochen
231,we thought that would be enough,we thought that would be enough,pensamos que sería suficiente,nous pensions que cela suffirait,wir dachten das würde reichen
232,we took turns cleaning the room,we took turns cleaning the room,nos turnamos para limpiar la habitación,nous nous sommes relayés pour nettoyer la chambre,Wir haben abwechselnd das Zimmer geputzt
233,we use a lot of water every day,we use a lot of water every day,usamos mucha agua todos los días,nous utilisons beaucoup d'eau chaque jour,Wir verbrauchen jeden Tag viel Wasser
234,"we want new ideas, not old ones",we want new ideas  not old ones,queremos ideas nuevas no viejas,nous voulons de nouvelles idées pas des anciennes,"Wir wollen neue Ideen, keine alten"
235,we want to know where you stand,we want to know where you stand,queremos saber donde estas parado,nous voulons savoir où vous en êtes,"wir wollen wissen, wo du stehst"
236,we want to make a simple change,we want to make a simple change,queremos hacer un cambio simple,nous voulons faire un changement simple,Wir wollen eine einfache Änderung vornehmen
237,we want to make everybody happy,we want to make everybody happy,queremos hacer felices a todos,nous voulons rendre tout le monde heureux,wir wollen alle glücklich machen
238,we want to thank you for coming,we want to thank you for coming,queremos agradecerte por venir,nous voulons vous remercier d'être venu,Wir möchten uns für Ihr Kommen bedanken
239,we wanted to wish you good luck,we wanted to wish you good luck,queríamos desearte mucha suerte,nous voulions vous souhaiter bonne chance,Wir wollten Ihnen viel Glück wünschen
240,we went back to the living room,we went back to the living room,volvimos a la sala,nous sommes retournés au salon,Wir gingen zurück ins Wohnzimmer
241,we went for a walk on the beach,we went for a walk on the beach,fuimos a dar un paseo por la playa,nous sommes allés nous promener sur la plage,wir gingen am Strand spazieren
242,we went to high school together,we went to high school together,Fuimos a la secundaria juntos,nous sommes allés au lycée ensemble,wir sind zusammen aufs Gymnasium gegangen
243,we went to the mountains to ski,we went to the mountains to ski,fuimos a la montaña a esquiar,nous sommes allés à la montagne pour skier,Wir sind zum Skifahren in die Berge gefahren
244,we went to the museum last week,we went to the museum last week,fuimos al museo la semana pasada,nous sommes allés au musée la semaine dernière,Wir waren letzte Woche im Museum
245,we went to the same high school,we went to the same high school,fuimos a la misma escuela secundaria,nous sommes allés au même lycée,Wir gingen auf die gleiche High School
246,we were expecting a lot of snow,we were expecting a lot of snow,esperábamos mucha nieve,nous nous attendions à beaucoup de neige,Wir hatten viel Schnee erwartet
247,we were married for three years,we were married for three years,estuvimos casados ​​durante tres años,nous étions mariés depuis trois ans,wir waren drei jahre verheiratet
248,we were supposed to protect tom,we were supposed to protect tom,se suponía que íbamos a proteger a tom,nous étions censés protéger tom,Wir sollten Tom beschützen
249,we were told to stop doing that,we were told to stop doing that,nos dijeron que dejáramos de hacer eso,on nous a dit d'arrêter de faire ça,"Uns wurde gesagt, damit aufzuhören"
250,we weren't invited to the party,we were not invited to the party,no fuimos invitados a la fiesta,nous n'étions pas invités à la fête,Wir wurden nicht zur Party eingeladen
251,we won't leave until after dark,we will not leave until after dark,no nos iremos hasta después del anochecer,nous ne partirons qu'après la tombée de la nuit,Wir werden erst nach Einbruch der Dunkelheit gehen
252,we work every day except sunday,we work every day except sunday,trabajamos todos los dias excepto los domingos,nous travaillons tous les jours sauf le dimanche,Wir arbeiten jeden Tag außer sonntags
253,we'd better do that before 2:30,we would better do that before 2 30,será mejor que lo hagamos antes de las 2 30,nous ferions mieux de le faire avant 2 h 30,das machen wir besser vor 2 30
254,we'll begin rehearsals tomorrow,we will begin rehearsals tomorrow,mañana empezamos los ensayos,nous commencerons les répétitions demain,Morgen beginnen wir mit den Proben
255,we'll find out in just a minute,we will find out in just a minute,lo sabremos en un minuto,nous le saurons dans une minute,Wir werden es in einer Minute herausfinden
256,we'll find somewhere else to go,we will find somewhere else to go,encontraremos otro lugar a donde ir,nous trouverons un autre endroit où aller,"Wir werden einen anderen Ort finden, an den wir gehen können"
257,we'll go to church this evening,we will go to church this evening,iremos a la iglesia esta noche,nous irons à l'église ce soir,Wir gehen heute Abend in die Kirche
258,we'll have to do this ourselves,we will have to do this ourselves,tendremos que hacer esto nosotros mismos,nous devrons le faire nous-mêmes,das müssen wir selbst machen
259,we'll have to finish this later,we will have to finish this later,tendremos que terminar esto más tarde,nous devrons finir cela plus tard,wir müssen das später beenden
260,we'll have to see what's doable,we will have to see what is doable,habrá que ver que se puede hacer,il faudra voir ce qui est faisable,"wir müssen sehen, was machbar ist"
261,we'll make the decision for you,we will make the decision for you,tomaremos la decisión por ti,nous prendrons la décision pour vous,wir treffen die entscheidung für sie
262,we'll never go back there again,we will never go back there again,nunca volveremos allí de nuevo,nous n'y retournerons plus jamais,wir werden nie wieder dort hin gehen
263,we'll probably all be dead soon,we will probably all be dead soon,probablemente todos estaremos muertos pronto,nous serons probablement tous bientôt morts,wir werden wahrscheinlich alle bald tot sein
264,we'll take part in the marathon,we will take part in the marathon,vamos a participar en el maratón,nous participerons au marathon,Wir werden am Marathon teilnehmen
265,we'll talk again in the morning,we will talk again in the morning,hablaremos de nuevo en la mañana,nous reparlerons demain matin,wir reden morgen früh nochmal
266,we'll wait and see what happens,we will wait and see what happens,esperaremos a ver que pasa,nous allons attendre et voir ce qui se passe,wir werden abwarten was passiert
267,we're a little pressed for time,we are a little pressed for time,estamos un poco presionados por el tiempo,nous sommes un peu pressés par le temps,wir sind etwas unter Zeitdruck
268,we're all citizens of the world,we are all citizens of the world,todos somos ciudadanos del mundo,nous sommes tous citoyens du monde,Wir sind alle Weltbürger
269,we're all in the same situation,we are all in the same situation,todos estamos en la misma situacion,nous sommes tous dans le même cas,wir sind alle in der gleichen Situation
270,we're anxious about your health,we are anxious about your health,estamos preocupados por tu salud,nous sommes inquiets pour votre santé,wir sind um Ihre Gesundheit besorgt
271,we're asking you not to do that,we are asking you not to do that,te estamos pidiendo que no hagas eso,nous vous demandons de ne pas le faire,"wir bitten Sie, dies nicht zu tun"
272,"we're competitors, not partners",we are competitors  not partners,somos competidores no socios,nous sommes des concurrents pas des partenaires,"Wir sind Konkurrenten, keine Partner"
273,we're concerned for your safety,we are concerned for your safety,nos preocupamos por su seguridad,nous sommes soucieux de votre sécurité,Wir sind um Ihre Sicherheit besorgt
274,we're going to do that tomorrow,we are going to do that tomorrow,vamos a hacer eso mañana,on va faire ça demain,das machen wir morgen
275,we're going to have so much fun,we are going to have so much fun,Vamos a tener mucha diversión,on va tellement s'amuser,Wir werden so viel Spaß haben
276,we're going to raise our prices,we are going to raise our prices,vamos a subir nuestros precios,nous allons augmenter nos prix,Wir werden unsere Preise erhöhen
277,we're going to take care of you,we are going to take care of you,te vamos a cuidar,on va s'occuper de toi,Wir kümmern uns um Sie
278,we're hoping to open in october,we are hoping to open in october,esperamos abrir en octubre,nous espérons ouvrir en octobre,"Wir hoffen, im Oktober eröffnen zu können"
279,we're just getting ready to eat,we are just getting ready to eat,solo nos estamos preparando para comer,nous nous préparons juste à manger,Wir machen uns gerade fertig zum Essen
280,we're no longer working for tom,we are no longer working for tom,ya no estamos trabajando para tom,nous ne travaillons plus pour tom,wir arbeiten nicht mehr für tom
281,we're not getting paid for this,we are not getting paid for this,no nos pagan por esto,nous ne sommes pas payés pour cela,dafür werden wir nicht bezahlt
282,we're not going to eat anything,we are not going to eat anything,no vamos a comer nada,nous ne mangerons rien,wir werden nichts essen
283,we're not going to wait for tom,we are not going to wait for tom,no vamos a esperar a tom,nous n'allons pas attendre tom,Wir werden nicht auf Tom warten
284,we're not trying to make amends,we are not trying to make amends,no estamos tratando de hacer las paces,nous n'essayons pas de faire amende honorable,"wir versuchen nicht, Wiedergutmachung zu leisten"
285,we're on a tight schedule today,we are on a tight schedule today,tenemos una agenda apretada hoy,nous avons un emploi du temps chargé aujourd'hui,Wir haben heute einen straffen Zeitplan
286,we're pleased with our progress,we are pleased with our progress,estamos satisfechos con nuestro progreso,nous sommes satisfaits de nos progrès,Wir sind mit unseren Fortschritten zufrieden
287,we're trying to stay up to date,we are trying to stay up to date,estamos tratando de estar al día,nous essayons de rester à jour,wir versuchen auf dem Laufenden zu bleiben
288,"we're very different, you and i",we are very different  you and i,somos muy diferentes tu y yo,nous sommes très différents toi et moi,wir sind sehr verschieden du und ich
289,we're working as fast as we can,we are working as fast as we can,estamos trabajando tan rápido como podemos,nous travaillons aussi vite que possible,wir arbeiten so schnell wir können
290,we've all done that a few times,we ve all done that a few times,todos hemos hecho eso algunas veces,nous avons tous fait cela plusieurs fois,das haben wir alle schon ein paar mal gemacht
291,we've already talked about that,we ve already talked about that,ya hemos hablado de eso,on en a déjà parlé,darüber haben wir schon gesprochen
292,we've already talked about this,we ve already talked about this,ya hemos hablado de esto,nous en avons déjà parlé,darüber haben wir bereits gesprochen
293,we've been asked not to do that,we ve been asked not to do that,nos han pedido que no hagamos eso,on nous a demandé de ne pas faire ça,"Wir wurden gebeten, dies nicht zu tun"
294,we've been here for three hours,we ve been here for three hours,hemos estado aquí durante tres horas,nous sommes ici depuis trois heures,Wir sind seit drei Stunden hier
295,we've been married for 30 years,we ve been married for 30 years,hemos estado casados ​​por 30 años,nous sommes mariés depuis 30 ans,wir sind seit 30 jahren verheiratet
296,we've decided to take that risk,we ve decided to take that risk,hemos decidido correr ese riesgo,nous avons décidé de prendre ce risque,"Wir haben uns entschieden, dieses Risiko einzugehen"
297,we've discussed a lot of things,we ve discussed a lot of things,hemos discutido muchas cosas,nous avons discuté de beaucoup de choses,wir haben vieles besprochen
298,we've faced this problem before,we ve faced this problem before,hemos enfrentado este problema antes,nous avons déjà rencontré ce problème,wir hatten dieses Problem schon einmal
299,we've looked at a lot of things,we ve looked at a lot of things,hemos mirado muchas cosas,nous avons regardé beaucoup de choses,wir haben uns vieles angeschaut
300,we've lost three games in a row,we ve lost three games in a row,hemos perdido tres juegos seguidos,nous avons perdu trois matchs de suite,Wir haben drei Spiele in Folge verloren
301,we've used almost all the money,we ve used almost all the money,hemos usado casi todo el dinero,nous avons utilisé presque tout l'argent,Wir haben fast das ganze Geld verbraucht
302,"well, aren't you glad to see me",well  are not you glad to see me,"Bueno, ¿no te alegras de verme?",eh bien tu n'es pas content de me voir,"Nun, bist du nicht froh, mich zu sehen?"
303,were you at school at that time,were you at school at that time,estabas en la escuela en ese momento,étais-tu à l'école à ce moment-là,warst du damals in der schule
304,were you happy with the results,were you happy with the results,Estuviste feliz con los resultados,étiez-vous satisfait des résultats,waren Sie mit den Ergebnissen zufrieden
305,were you present at the meeting,were you present at the meeting,estuviste presente en la reunión,étiez-vous présent à la réunion,waren Sie bei der Besprechung anwesend
306,what i drink the most is coffee,what i drink the most is coffee,lo que mas bebo es cafe,ce que je bois le plus c'est du café,was ich am meisten trinke ist kaffee
307,what tom said didn't make sense,what tom said did not make sense,lo que dijo tom no tenia sentido,ce que tom a dit n'a pas de sens,"Was Tom sagte, ergab keinen Sinn"
308,what are they complaining about,what are they complaining about,De qué se quejan,de quoi se plaignent-ils,worüber beschweren sie sich
309,what are we going to talk about,what are we going to talk about,De qué vamos a hablar,de quoi allons-nous parler,worüber werden wir reden
310,what are you both doing in here,what are you both doing in here,¿Qué están haciendo los dos aquí?,que faites-vous tous les deux ici,Was macht ihr beide hier drin?
311,what are you doing in my office,what are you doing in my office,que haces en mi oficina,que fais-tu dans mon bureau,Was machst du in meinem Büro?
312,what are you doing in the attic,what are you doing in the attic,¿Qué estás haciendo en el ático?,que fais-tu dans le grenier,Was machst du auf dem Dachboden?
313,what are you doing this evening,what are you doing this evening,Qué vas a hacer esta tarde,que fais-tu ce soir,was machst du heute Abend
314,what are you doing to stop this,what are you doing to stop this,¿Qué estás haciendo para detener esto?,qu'est-ce que tu fais pour arrêter ça,"was tust du, um das zu stoppen"
315,"what are you doing tonight, tom",what are you doing tonight  tom,que haces esta noche tom,qu'est-ce que tu fais ce soir tom,was machst du heute abend tom
316,what are you guys talking about,what are you guys talking about,de qué están hablando,de quoi parlez-vous les gars,worüber redet ihr
317,what are you learning at school,what are you learning at school,que estas aprendiendo en la escuela,qu'est-ce que tu apprends à l'école,was lernst du in der schule
318,what are you punishing them for,what are you punishing them for,¿Por qué los estás castigando?,pourquoi les punissez-vous,wofür bestrafst du sie
319,what are your plans for tonight,what are your plans for tonight,Cuáles son tus planes para esta noche,Qu'est-ce-que vous faites ce soir,Was sind Ihre Pläne für heute Abend
320,what bothers me is his attitude,what bothers me is his attitude,lo que me molesta es su actitud,ce qui me dérange c'est son attitude,"Was mich stört, ist seine Einstellung"
321,what can be the meaning of this,what can be the meaning of this,cual puede ser el significado de esto,quel peut être le sens de cela,was kann das bedeuten
322,what can you tell me about that,what can you tell me about that,Qué puedes decirme acerca de eso,Que pouvez-vous me dire à propos de cela,was kannst du mir dazu sagen
323,what color are your wife's eyes,what color are your wife s eyes,de que color son los ojos de tu esposa,de quelle couleur sont les yeux de ta femme,welche farbe haben die augen deiner frau
324,what color did tom dye his hair,what color did tom dye his hair,¿De qué color se tiñó Tom el pelo?,de quelle couleur tom a-t-il teint ses cheveux,welche farbe hat tom seine haare gefärbt
325,what could be the meaning of it,what could be the meaning of it,cual puede ser el significado,quelle pourrait en être la signification,was könnte das bedeuten
326,what department do you work for,what department do you work for,para que departamento trabajas,pour quel département travaillez-vous,für welche abteilung arbeitest du
327,what did you do at school today,what did you do at school today,que hiciste en la escuela hoy,qu'as-tu fait à l'école aujourd'hui,was hast du heute in der schule gemacht
328,what did you do to get grounded,what did you do to get grounded,que hiciste para que te castigaran,qu'as-tu fait pour être puni,"Was hast du getan, um Hausarrest zu bekommen?"
329,what did you do with my luggage,what did you do with my luggage,que hiciste con mi equipaje,qu'avez-vous fait de mes bagages,Was hast du mit meinem Gepäck gemacht?
330,what did you do with the camera,what did you do with the camera,que hiciste con la camara,qu'as-tu fait de la caméra,was hast du mit der kamera gemacht
331,what did you see in the kitchen,what did you see in the kitchen,que viste en la cocina,qu'avez-vous vu dans la cuisine,Was hast du in der Küche gesehen?
332,what did you think of that book,what did you think of that book,¿Qué te pareció ese libro?,qu'avez-vous pensé de ce livre,was denkst du über das buch
333,what did you think of the party,what did you think of the party,que te pareció la fiesta,Qu'avez-vous pensé de la fête,was haltet ihr von der party
334,what do they know that we don't,what do they know that we do not,que saben ellos que nosotros no,que savent-ils que nous ne savons pas,"was wissen sie, was wir nicht wissen"
335,what do they want to talk about,what do they want to talk about,de que quieren hablar,de quoi veulent-ils parler,worüber wollen sie reden
336,what do you base your theory on,what do you base your theory on,en que basas tu teoria,sur quoi basez-vous votre théorie,worauf stützt du deine theorie
337,what do you do in the afternoon,what do you do in the afternoon,Qué hacer en la tarde,que fais-tu dans l'après-midi,was machst du am Nachmittag
338,what do you do to stay in shape,what do you do to stay in shape,¿Qué haces para mantenerte en forma?,que faites-vous pour rester en forme,was machst du um fit zu bleiben
339,what do you know about all this,what do you know about all this,que sabes de todo esto,que savez-vous de tout cela,was weißt du über all das
340,what do you think tom told mary,what do you think tom told mary,¿Qué crees que Tom le dijo a Mary?,que pensez-vous que tom a dit à mary,"Was denkst du, hat Tom Mary gesagt?"
341,what do you think is down there,what do you think is down there,¿Qué crees que hay ahí abajo?,qu'est-ce que tu penses qu'il y a là-bas,was denkst du ist da unten
342,what do you think is in the box,what do you think is in the box,¿Qué crees que hay en la caja?,que pensez-vous qu'il y a dans la boîte,was denkst du ist in der box
343,what do you think of my costume,what do you think of my costume,que te parece mi disfraz,que pensez-vous de mon costume,was haltet ihr von meinem kostüm
344,what do you think they're after,what do you think they are after,¿Qué crees que buscan?,que pensez-vous qu'ils recherchent,"was denkst du, wonach sie suchen"
345,what do you want me to tell tom,what do you want me to tell tom,que quieres que le diga tom,qu'est-ce que tu veux que je lui dise,was soll ich tom sagen
346,what do you want to do about it,what do you want to do about it,que quieres hacer al respecto,que voulez-vous faire à ce sujet,was willst du dagegen tun
347,what do you want to do tomorrow,what do you want to do tomorrow,Que quieres hacer mañana,que veux-tu faire demain,Was willst du morgen machen
348,what does tom eat for breakfast,what does tom eat for breakfast,¿Qué come Tom en el desayuno?,que mange tom au petit déjeuner,was isst tom zum frühstück
349,what does this look like to you,what does this look like to you,que te parece esto,à quoi cela ressemble-t-il pour vous,wie sieht das für dich aus
350,what else have you got going on,what else have you got going on,¿Qué más tienes pasando?,qu'est-ce que tu as d'autre à faire,was hast du denn noch vor
351,what else would you like to eat,what else would you like to eat,que mas te gustaria comer,qu'aimeriez-vous manger d'autre,was möchtest du noch essen
352,what exactly is your book about,what exactly is your book about,¿De qué trata exactamente tu libro?,de quoi parle exactement votre livre,worum geht es in deinem buch genau
353,what fruit do you like the best,what fruit do you like the best,que fruta te gusta mas,quel fruit préférez-vous,welche obst magst du am liebsten
354,what gives you the right to ask,what gives you the right to ask,que te da derecho a preguntar,qu'est-ce qui vous donne le droit de demander,was gibt dir das recht zu fragen
355,what happened to all that money,what happened to all that money,que paso con todo ese dinero,qu'est-il arrivé à tout cet argent,was ist mit all dem geld passiert
356,what happened to you last night,what happened to you last night,que te paso anoche,qu'est-ce qui t'est arrivé la nuit dernière,was ist dir letzte nacht passiert
357,what happened to your other car,what happened to your other car,que paso con tu otro auto,qu'est-il arrivé à ton autre voiture,Was ist mit deinem anderen Auto passiert?
358,what have you been up to lately,what have you been up to lately,Qué has hecho últimamente,Qu'avez-vous réalisé récemment,Was hast du in letzter Zeit so gemacht
359,what in the world are you doing,what in the world are you doing,¿Qué demonios estás haciendo?,qu'est-ce que tu fais dans le monde,was in aller Welt machst du
360,what is it you have against tom,what is it you have against tom,que tienes contra tom,qu'est-ce que tu as contre tom,was hast du gegen tom
361,what is the price of this watch,what is the price of this watch,cual es el precio de este reloj,quel est le prix de cette montre,was kostet diese uhr
362,what is the reason for that lie,what is the reason for that lie,cual es la razon de esa mentira,quelle est la raison de ce mensonge,was ist der Grund für diese Lüge
363,what kind of places do you like,what kind of places do you like,que tipo de lugares te gustan,quel genre d'endroits aimes-tu,welche Orte magst du
364,what kind of shampoo do you use,what kind of shampoo do you use,Qué tipo de champú usas,quel type de shampoing utilisez-vous,was für ein shampoo benutzt du
365,what kind of tattoo do you want,what kind of tattoo do you want,que tipo de tatuaje quieres,quel type de tatouage voulez-vous,was für ein tattoo willst du
366,what kinds of beers do you have,what kinds of beers do you have,que tipo de cervezas tienes,quels types de bières avez-vous,welche biersorten hast du
367,what made you ask that question,what made you ask that question,que te hizo hacer esa pregunta,qu'est-ce qui t'a fait poser cette question,warum hast du diese frage gestellt
368,what medications are you taking,what medications are you taking,Qué medicamentos está tomando,quels médicaments prenez-vous,welche medikamente nimmst du
369,what other movies did you watch,what other movies did you watch,que otras peliculas viste,quels autres films avez-vous regardé,welche anderen filme hast du dir angesehen
370,what problems did they run into,what problems did they run into,con que problemas se encontraron,quels problèmes ont-ils rencontrés,auf welche Probleme sind sie gestoßen
371,what shall i do with her letter,what shall i do with her letter,¿Qué debo hacer con su carta?,que dois-je faire de sa lettre,Was soll ich mit ihrem Brief machen?
372,what should i tell the kids now,what should i tell the kids now,¿Qué debo decirles a los niños ahora?,que dois-je dire aux enfants maintenant,was soll ich den kindern jetzt sagen
373,what the newspapers say is true,what the newspapers say is true,lo que dicen los periodicos es cierto,ce que disent les journaux est vrai,"Was die Zeitungen sagen, ist wahr"
374,what time are you going on duty,what time are you going on duty,a que hora vas a trabajar,à quelle heure partez-vous en service,Um wie viel Uhr gehst du in den Dienst?
375,what time do you start check-in,what time do you start check in,¿A qué hora empiezas a registrarte?,À quelle heure commencez-vous à vous enregistrer ?,Wann beginnen Sie mit dem Check-in?
376,what time do you usually get up,what time do you usually get up,a qué hora sueles levantarte,à quelle heure te lèves-tu d'habitude,wann stehst du normalerweise auf
377,what time does your plane leave,what time does your plane leave,a que hora sale tu avion,à quelle heure part ton avion,Wann geht Ihr Flugzeug?
378,what time is your plane landing,what time is your plane landing,a que hora aterriza tu avion,à quelle heure atterrit ton avion,Wann landet Ihr Flugzeug?
379,what time will dinner be served,what time will dinner be served,a qué hora se servirá la cena,à quelle heure le dîner sera-t-il servi,Wann wird das Abendessen serviert?
380,what was wrong with the old one,what was wrong with the old one,que le pasaba al viejo,Qu'est-ce qui ne va pas avec l'ancien,was war mit dem alten los
381,what were you doing before this,what were you doing before this,que estabas haciendo antes de esto,que faisais-tu avant ça,was hast du davor gemacht
382,what were you doing that moment,what were you doing that moment,que estabas haciendo en ese momento,que faisais-tu à ce moment-là,Was hast du in diesem Moment gemacht?
383,what were you two talking about,what were you two talking about,de que estaban hablando ustedes dos,de quoi parliez-vous tous les deux,worüber habt ihr beide geredet?
384,what would life be without hope,what would life be without hope,¿Qué sería de la vida sin esperanza?,que serait la vie sans espoir,Was wäre das Leben ohne Hoffnung
385,what would you like for dessert,what would you like for dessert,que te gustaría de postre,que voudrais tu pour le dessert,was möchtest du zum nachtisch
386,what would you like to do today,what would you like to do today,Qué te gustaría hacer hoy,que voudrais tu faire aujourd'hui,was möchtest du heute machen
387,what would you take for the lot,what would you take for the lot,que tomarias por el lote,que prendriez-vous pour le lot,was würdest du für das Los nehmen
388,what're you doing for christmas,what are you doing for christmas,Qué harás en Navidad,Que fais-tu pour Noël,Was machst du an Weihnachten
389,what's all the excitement about,what is all the excitement about,¿De qué se trata toda la emoción?,quelle est toute l'excitation à propos de,was soll die Aufregung
390,what's in your medicine cabinet,what is in your medicine cabinet,que hay en tu botiquín,qu'y a-t-il dans votre armoire à pharmacie,was ist in deinem Medizinschrank
